# timestamp, loading image, state propagation, network inference, EKF update, total time
1404.051285821999954,4.62500,33.91800,0.01400,0.00000,38.55900
1404.084387133999826,2.94000,0.64700,73.57000,0.00000,77.15900
1404.150731873000041,12.40200,1.15700,39.17300,0.00000,52.73400
1404.183903581999857,1.84600,0.39400,26.35000,0.00000,28.59400
1404.217116841999996,2.41000,0.39400,33.90800,0.00000,36.71800
1404.283469560999947,1.88800,0.66800,33.58800,0.00000,36.14800
1404.316597666000007,2.54500,0.71800,40.40800,0.00000,43.67300
1404.349814029999834,1.84700,0.40500,27.63400,0.00000,29.89500
1404.382983477999915,2.46500,0.49700,31.89600,0.00000,34.86000
1404.416114739000022,2.46600,0.72600,32.41200,0.00000,35.60700
1404.449330529999997,3.28400,0.57200,32.64100,0.13200,36.62900
1404.482459529999915,2.42700,0.36700,28.77100,0.06000,31.62600
1404.515632425999911,2.68100,0.44900,28.60400,0.09400,31.82800
1404.548806633999902,2.78900,0.45100,29.50200,0.06300,32.80600
1404.581979893999915,3.11700,0.47600,31.30400,0.12400,35.02200
1404.615152842000043,2.65700,0.40000,28.22800,0.04500,31.33100
1404.648408947000007,2.51900,0.43300,30.71100,0.04700,33.71000
1404.681544790999851,2.31400,0.40300,31.11000,0.06600,33.89400
1404.714671530000032,2.53300,0.50700,31.90100,0.05400,34.99600
1404.747885529999849,2.58500,0.56500,32.31600,0.05300,35.51900
1404.781062873999872,2.80700,0.32700,33.70300,0.03900,36.87700
1404.814192477999995,2.35800,0.61600,28.94500,0.07600,31.99500
1404.847363478000034,2.65100,0.40300,27.63200,0.08600,30.77400
1404.880536581999877,3.12500,0.43400,29.44000,0.04700,33.04700
1404.913814185999854,3.28000,0.79200,32.10400,0.12700,36.30500
1404.947088237999878,3.11000,0.40300,28.72700,0.14700,32.38800
1404.980286185999830,2.84300,0.58400,31.51000,0.09300,35.03100
1405.013374185999965,3.34800,0.47400,31.78300,0.03200,35.63800
1405.046535237999933,2.07600,0.36900,32.31000,0.05800,34.81300
1405.079898869999852,2.61800,0.44900,31.07400,0.03600,34.17700
1405.113017817999889,1.68700,0.34000,31.64300,0.03300,33.70400
1405.146188026999880,2.34200,0.43200,32.65200,0.04300,35.46900
